LOAN_ID,ACCOUNT_ID,`DATE`,AMOUNT,DURATION,PAYMENTS,STATUS
5314,1787,2016-07-05,96396,12,8033,Loan `Not` Paid
5316,1801,2016-07-11,165960,36,4610,Contract Finished
6863,9188,2016-07-17,127080,60,2118,Contract Finished
5325,1843,2016-07-23,105804,36,2939,Contract Finished
7240,11013,2016-07-29,274740,60,4579,Contract Finished
6687,8261,2016-08-04,87840,24,3660,Contract Finished
7284,11265,2016-08-10,52788,12,4399,Contract Finished
6111,5428,2016-08-16,174744,24,7281,Loan `Not` Paid
7235,10973,2016-08-22,154416,48,3217,Contract Finished
5997,4894,2016-08-28,117024,24,4876,Contract Finished
7121,10364,2016-09-03,21924,36,609,Contract Finished
6077,5270,2016-09-09,79608,24,3317,Contract Finished
6228,6034,2016-09-15,464520,60,7742,Loan `Not` Paid
6356,6701,2016-09-21,95400,36,2650,Contract Finished
5523,2705,2016-09-27,93888,36,2608,Contract Finished
6456,7123,2016-10-03,47016,12,3918,Contract Finished
7104,10320,2016-10-09,259740,60,4329,Contract Finished
6820,9034,2016-10-15,38148,12,3179,Contract Finished
6876,9236,2016-10-21,86616,12,7218,Contract Finished
7097,10266,2016-10-27,75624,24,3151,Loan `Not` Paid
4959,2,2016-11-02,80952,24,3373,Contract Finished
6499,7401,2016-11-08,80952,24,3373,Contract Finished
5479,2486,2016-11-14,24516,12,2043,Contract Finished
5170,1071,2016-11-20,253200,60,4220,Running contract
6721,8475,2016-11-26,21072,24,878,Contract Finished
7259,11111,2016-12-02,108144,36,3004,Contract Finished
5285,1603,2016-12-08,78936,12,6578,Contract Finished
5189,1166,2016-12-14,149040,48,3105,Contract Finished
6650,8073,2016-12-20,49320,12,4110,Loan `Not` Paid
7226,10940,2016-12-26,197748,36,5493,Contract Finished
6087,5313,2017-01-01,300660,60,5011,Running contract
7262,11135,2017-01-07,182628,36,5073,Contract Finished
5519,2694,2017-01-13,91632,12,7636,Contract Finished
6577,7753,2017-01-19,51696,24,2154,Contract Finished
6509,7445,2017-01-25,55368,24,2307,Contract Finished
6520,7485,2017-01-31,91200,24,3800,Contract Finished
6699,8330,2017-02-06,7656,24,319,Contract Finished
6336,6555,2017-02-12,212400,36,5900,Contract Finished
7055,10079,2017-02-18,167100,60,2785,Running contract
6103,5385,2017-02-24,149340,60,2489,Running contract
6202,5891,2017-03-02,65184,12,5432,Contract Finished
7066,10131,2017-03-08,215388,36,5983,Loan `Not` Paid
6696,8321,2017-03-14,89040,60,1484,Running contract
6072,5256,2017-03-20,193968,36,5388,Contract Finished
5130,813,2017-03-26,24312,12,2026,Contract Finished
5568,2933,2017-04-01,272520,60,4542,Running contract
6678,8173,2017-04-07,80340,12,6695,Contract Finished
6998,9833,2017-04-13,97632,12,8136,Contract Finished
6580,7769,2017-04-19,196080,48,4085,Contract Finished
6316,6473,2017-04-25,76908,12,6409,Loan `Not` Paid
6512,7454,2017-05-01,63312,48,1319,Contract Finished
6407,6930,2017-05-07,25944,24,1081,Contract Finished
5002,173,2017-05-13,104808,12,8734,Contract Finished
6647,8051,2017-05-19,208320,48,4340,Contract Finished
7137,10439,2017-05-25,151560,24,6315,Contract Finished
6903,9337,2017-05-31,52128,24,2172,Contract Finished
5918,4576,2017-06-06,300204,36,8339,Contract Finished
6642,8027,2017-06-12,77640,12,6470,Contract Finished
6210,5927,2017-06-18,87216,48,1817,Loan `Not` Paid
6279,6273,2017-06-24,87360,24,3640,Contract Finished
7249,11065,2017-06-30,69360,48,1445,Contract Finished
6736,8558,2017-07-06,288360,60,4806,Running contract
6112,5442,2017-07-12,174744,24,7281,Loan `Not` Paid
5319,1811,2017-07-18,239460,60,3991,Running contract
6596,7844,2017-07-24,91584,24,3816,Contract Finished
5837,4260,2017-07-30,244560,60,4076,Running contract
5657,3354,2017-08-05,4980,12,415,Contract Finished
5533,2762,2017-08-11,111384,24,4641,Contract Finished
6232,6051,2017-08-17,276660,36,7685,Loan `Not` Paid
6888,9265,2017-08-23,39576,12,3298,Contract Finished
6066,5228,2017-08-29,173808,24,7242,Contract Finished
5549,2824,2017-09-04,50460,60,841,Running contract
5060,426,2017-09-10,252060,60,4201,Client `in` debt
6004,4937,2017-09-16,143904,24,5996,Contract Finished
5126,790,2017-09-22,208128,48,4336,Loan `Not` Paid
7220,10911,2017-09-28,131292,36,3647,Contract Finished
6668,8129,2017-10-04,74736,36,2076,Contract Finished
5395,2176,2017-10-10,299088,36,8308,Loan `Not` Paid
6836,9093,2017-10-16,189300,60,3155,Running contract
6064,5215,2017-10-22,14628,12,1219,Contract Finished
6919,9403,2017-10-28,120888,36,3358,Contract Finished
6841,9104,2017-11-03,172080,48,3585,Contract Finished
6038,5120,2017-11-09,323472,48,6739,Contract Finished
6729,8519,2017-11-15,74688,12,6224,Contract Finished
7198,10788,2017-11-21,45768,12,3814,Contract Finished
6686,8260,2017-11-27,224604,36,6239,Contract Finished
5836,4259,2017-12-03,79632,24,3318,Contract Finished
7061,10105,2017-12-09,121896,24,5079,Contract Finished
5595,3050,2017-12-15,82896,12,6908,Contract Finished
5723,3674,2017-12-21,23628,12,1969,Contract Finished
6120,5481,2017-12-27,209184,48,4358,Contract Finished
6895,9307,2018-01-02,41904,12,3492,Contract Finished
5882,4427,2018-01-08,87816,12,7318,Contract Finished
5754,3834,2018-01-14,23052,12,1921,Contract Finished
6594,7824,2018-01-20,189696,24,7904,Loan `Not` Paid
6738,8566,2018-01-26,230220,36,6395,Loan `Not` Paid
6624,7965,2018-02-01,71460,12,5955,Contract Finished
6216,5952,2018-02-07,141240,24,5885,Contract Finished
6229,6040,2018-02-13,11736,24,489,Contract Finished
5887,4448,2018-02-19,192744,36,5354,Contract Finished
6808,8982,2018-02-25,227880,36,6330,Contract Finished
6297,6363,2018-03-03,17508,12,1459,Contract Finished
5161,1012,2018-03-09,98184,24,4091,Contract Finished
5390,2167,2018-03-15,170256,24,7094,Contract Finished
6150,5622,2018-03-21,83016,12,6918,Contract Finished
6223,5991,2018-03-27,61056,48,1272,Contract Finished
5032,290,2018-04-02,123696,48,2577,Contract Finished
6253,6148,2018-04-08,59760,24,2490,Contract Finished
6460,7133,2018-04-14,48672,36,1352,Contract Finished
6645,8041,2018-04-20,140400,36,3900,Contract Finished
5176,1106,2018-04-26,192552,24,8023,Loan `Not` Paid
5269,1527,2018-05-02,164052,36,4557,Loan `Not` Paid
5351,1978,2018-05-08,205200,36,5700,Contract Finished
5861,4337,2018-05-14,51408,24,2142,Contract Finished
5450,2345,2018-05-20,199680,60,3328,Running contract
7142,10451,2018-05-26,482940,60,8049,Client `in` debt
6306,6425,2018-06-01,36684,12,3057,Contract Finished
6272,6226,2018-06-07,398640,60,6644,Running contract
5044,344,2018-06-13,100980,60,1683,Running contract
5576,2962,2018-06-19,31248,12,2604,Contract Finished
7192,10738,2018-06-25,115992,36,3222,Contract Finished
5739,3747,2018-07-01,76380,12,6365,Contract Finished
6526,7523,2018-07-07,288468,36,8013,Contract Finished
5624,3166,2018-07-13,177744,48,3703,Client `in` debt
6244,6118,2018-07-19,270648,36,7518,Loan `Not` Paid
5131,816,2018-07-25,48624,24,2026,Contract Finished
6960,9640,2018-07-31,76416,24,3184,Contract Finished
6358,6715,2018-08-06,137880,60,2298,Client `in` debt
5418,2245,2018-08-12,347952,48,7249,Running contract
6598,7857,2018-08-18,68112,12,5676,Contract Finished
5464,2419,2018-08-24,95808,12,7984,Contract Finished
6591,7819,2018-08-30,20832,48,434,Running contract
5724,3678,2018-09-05,316140,60,5269,Client `in` debt
6315,6472,2018-09-11,43164,12,3597,Contract Finished
5876,4413,2018-09-17,221280,48,4610,Running contract
6986,9750,2018-09-23,151728,48,3161,Client `in` debt
6294,6353,2018-09-29,79920,60,1332,Running contract
5132,817,2018-10-05,538500,60,8975,Running contract
5877,4414,2018-10-11,97224,24,4051,Contract Finished
6227,6030,2018-10-17,28248,24,1177,Contract Finished
7241,11021,2018-10-23,168984,24,7041,Loan `Not` Paid
6737,8564,2018-10-29,76680,24,3195,Contract Finished
7004,9869,2018-11-04,331560,60,5526,Running contract
6169,5700,2018-11-10,103680,60,1728,Client `in` debt
5208,1247,2018-11-16,99696,48,2077,Client `in` debt
6694,8316,2018-11-22,134784,24,5616,Contract Finished
5599,3064,2018-11-28,15420,12,1285,Contract Finished
6546,7607,2018-12-04,31728,24,1322,Contract Finished
5414,2228,2018-12-10,185952,48,3874,Running contract
5453,2361,2018-12-16,156672,36,4352,Contract Finished
5740,3752,2018-12-22,18564,12,1547,Contract Finished
5804,4079,2018-12-28,158976,48,3312,Running contract
6745,8625,2019-01-03,47304,24,1971,Contract Finished
6950,9591,2019-01-09,104712,24,4363,Contract Finished
6996,9828,2019-01-15,126600,24,5275,Contract Finished
5352,1993,2019-01-21,68400,12,5700,Loan `Not` Paid
6151,5628,2019-01-27,225420,60,3757,Running contract
5310,1762,2019-02-02,248148,36,6893,Contract Finished
5045,347,2019-02-08,187224,24,7801,Loan `Not` Paid
6929,9472,2019-02-14,36396,12,3033,Contract Finished
5151,960,2019-02-20,189060,60,3151,Running contract
5212,1256,2019-02-26,71064,36,1974,Contract Finished
5138,854,2019-03-03,87216,48,1817,Running contract
5713,3629,2019-03-09,158760,60,2646,Running contract
6704,8377,2019-03-15,417060,60,6951,Running contract
6474,7190,2019-03-21,63360,60,1056,Running contract
6676,8159,2019-03-27,29784,24,1241,Contract Finished
6965,9656,2019-04-02,139536,24,5814,Contract Finished
6725,8489,2019-04-08,265320,36,7370,Contract Finished
7166,10630,2019-04-14,198240,24,8260,Contract Finished
7138,10440,2019-04-20,60000,60,1000,Running contract
5970,4774,2019-04-26,465072,48,9689,Running contract
6157,5650,2019-05-02,98592,24,4108,Contract Finished
6153,5632,2019-05-08,285600,60,4760,Running contract
5693,3489,2019-05-14,44088,24,1837,Contract Finished
5922,4580,2019-05-20,20220,12,1685,Contract Finished
5959,4727,2019-05-26,107640,24,4485,Contract Finished
5980,4825,2019-06-01,21396,12,1783,Contract Finished
6764,8776,2019-06-07,33984,48,708,Running contract
5237,1375,2019-06-13,45336,24,1889,Contract Finished
6726,8492,2019-06-19,85860,60,1431,Running contract
6933,9493,2019-06-25,188688,48,3931,Running contract
5145,915,2019-07-01,309552,48,6449,Running contract
7008,9897,2019-07-07,36168,12,3014,Contract Finished
7227,10942,2019-07-13,314520,60,5242,Running contract
6600,7861,2019-07-19,21852,36,607,Contract Finished
6712,8405,2019-07-25,266220,60,4437,Running contract
7057,10093,2019-07-31,231696,36,6436,Contract Finished
7176,10663,2019-08-06,260028,36,7223,Contract Finished
7304,11349,2019-08-12,419880,60,6998,Running contract
6362,6738,2019-08-18,37908,12,3159,Contract Finished
5880,4423,2019-08-24,73836,36,2051,Contract Finished
6535,7546,2019-08-30,41952,12,3496,Contract Finished
5449,2343,2019-09-05,99336,24,4139,Contract Finished
6342,6609,2019-09-11,60156,36,1671,Loan `Not` Paid
5409,2218,2019-09-17,182040,60,3034,Running contract
6955,9627,2019-09-23,244368,48,5091,Running contract
6985,9731,2019-09-29,113796,36,3161,Contract Finished
5125,789,2019-10-05,73056,48,1522,Running contract
5805,4081,2019-10-11,137904,24,5746,Loan `Not` Paid
6185,5774,2019-10-17,31176,24,1299,Contract Finished
7243,11042,2019-10-23,217152,36,6032,Contract Finished
6403,6924,2019-10-29,194880,48,4060,Running contract
6578,7765,2019-11-04,27984,12,2332,Contract Finished
5413,2227,2019-11-10,92976,24,3874,Contract Finished
6949,9583,2019-11-16,104712,24,4363,Contract Finished
6545,7606,2019-11-22,191880,60,3198,Running contract
6178,5742,2019-11-28,232560,48,4845,Running contract
5160,1011,2019-12-04,204000,60,3400,Running contract
6785,8899,2019-12-10,125340,60,2089,Running contract
6540,7562,2019-12-16,309600,48,6450,Running contract
6589,7815,2019-12-22,189696,24,7904,Contract Finished
5900,4503,2019-12-28,135360,48,2820,Running contract
5999,4907,2020-01-03,98832,48,2059,Running contract
6043,5126,2020-01-09,20352,48,424,Running contract
5482,2496,2020-01-15,165120,60,2752,Running contract
7263,11138,2020-01-21,89880,24,3745,Contract Finished
6013,4995,2020-01-27,128988,36,3583,Client `in` debt
5750,3804,2020-02-02,63252,12,5271,Contract Finished
6027,5066,2020-02-08,61656,24,2569,Loan `Not` Paid
6303,6400,2020-02-14,72408,24,3017,Loan `Not` Paid
7213,10884,2020-02-20,113544,36,3154,Running contract
6659,8092,2020-02-26,56100,60,935,Running contract
6175,5735,2020-03-04,290700,60,4845,Client `in` debt
5610,3112,2020-03-10,123216,48,2567,Running contract
5563,2912,2020-03-16,380160,60,6336,Running contract
5989,4852,2020-03-22,213300,36,5925,Running contract
6698,8327,2020-03-28,247728,48,5161,Running contract
5312,1772,2020-04-03,202788,36,5633,Running contract
7189,10728,2020-04-09,154656,48,3222,Running contract
6816,9017,2020-04-15,100224,48,2088,Client `in` debt
6137,5574,2020-04-21,44628,12,3719,Contract Finished
5128,808,2020-04-27,215616,48,4492,Client `in` debt
5470,2456,2020-05-03,200976,48,4187,Running contract
5593,3037,2020-05-09,277884,36,7719,Client `in` debt
5350,1967,2020-05-15,249312,48,5194,Running contract
6063,5213,2020-05-21,320976,48,6687,Client `in` debt
6501,7418,2020-05-27,30276,12,2523,Loan `Not` Paid
5452,2352,2020-06-02,49440,60,824,Running contract
4961,19,2020-06-08,30276,12,2523,Loan `Not` Paid
4973,67,2020-06-14,165960,24,6915,Contract Finished
6190,5794,2020-06-20,123600,60,2060,Running contract
6715,8411,2020-06-26,220620,60,3677,Running contract
5892,4462,2020-07-02,66480,24,2770,Loan `Not` Paid
6550,7614,2020-07-08,320592,48,6679,Running contract
5706,3608,2020-07-14,161496,36,4486,Running contract
5148,940,2020-07-20,284280,60,4738,Running contract
6734,8547,2020-07-26,173016,36,4806,Running contract
6109,5422,2020-08-01,368880,60,6148,Running contract
6961,9645,2020-08-07,176148,36,4893,Running contract
6810,9006,2020-08-13,186384,48,3883,Running contract
5494,2572,2020-08-19,360000,48,7500,Running contract
5311,1766,2020-08-25,30060,60,501,Running contract
5445,2322,2020-08-31,46320,24,1930,Contract Finished
5301,1698,2020-09-06,141948,36,3943,Running contract
7034,10001,2020-09-12,19044,36,529,Running contract
6751,8680,2020-09-18,85716,36,2381,Running contract
6667,8127,2020-09-24,155880,24,6495,Contract Finished
6130,5541,2020-09-30,32640,48,680,Running contract
5429,2268,2020-10-06,20196,36,561,Running contract
5725,3679,2020-10-12,444864,48,9268,Running contract
6019,5033,2020-10-18,11400,12,950,Contract Finished
6421,6985,2020-10-24,96768,36,2688,Running contract
6992,9790,2020-10-30,133968,48,2791,Running contract
5136,846,2020-11-05,187104,24,7796,Contract Finished
5337,1886,2020-11-11,162468,36,4513,Running contract
5495,2580,2020-11-17,89340,60,1489,Running contract
7013,9928,2020-11-23,89340,60,1489,Running contract
6012,4994,2020-11-29,258444,36,7179,Running contract
6471,7184,2020-12-05,155640,24,6485,Contract Finished
6296,6358,2020-12-11,270384,48,5633,Running contract
7305,11359,2020-12-17,54024,12,4502,Contract Finished
6144,5593,2020-12-23,44376,12,3698,Contract Finished
6283,6289,2020-12-29,85632,48,1784,Running contract
7246,11054,2021-01-04,148920,60,2482,Running contract
5088,544,2021-01-10,91152,24,3798,Contract Finished
5988,4851,2021-01-16,141648,24,5902,Contract Finished
5282,1583,2021-01-22,388512,48,8094,Client `in` debt
5938,4650,2021-01-28,402000,60,6700,Running contract
5606,3084,2021-02-03,253512,36,7042,Client `in` debt
5385,2143,2021-02-09,71460,36,1985,Running contract
6865,9199,2021-02-15,29448,12,2454,Loan `Not` Paid
5586,2994,2021-02-21,48744,36,1354,Running contract
6302,6397,2021-02-27,181020,60,3017,Running contract
7194,10762,2021-03-05,68832,36,1912,Running contract
6461,7136,2021-03-11,74124,36,2059,Running contract
6732,8533,2021-03-17,174048,48,3626,Running contract
6613,7926,2021-03-23,84120,24,3505,Contract Finished
7036,10019,2021-03-29,194940,36,5415,Running contract
5897,4476,2021-04-04,15192,24,633,Contract Finished
6995,9814,2021-04-10,96168,12,8014,Contract Finished
5415,2236,2021-04-16,139464,36,3874,Client `in` debt
7136,10436,2021-04-22,54396,36,1511,Running contract
7271,11186,2021-04-28,392460,60,6541,Running contract
5375,2106,2021-05-04,101520,12,8460,Contract Finished
5635,3230,2021-05-10,77184,36,2144,Running contract
6817,9024,2021-05-16,70656,48,1472,Running contract
5923,4585,2021-05-22,64656,48,1347,Running contract
5329,1862,2021-05-28,396120,60,6602,Running contract
